сколько мне еще ехать	route.info.how_long_to_drive	Маршруты > Информация об уже построенном маршруте > Сколько осталось ехать
домой	route.calc.home	Маршруты > Построение маршрута > Домой
поставь дтп	point.add.accident	Дорожные события > Добавление точки > Авария
покажи слой дорожных работ	point.show.road_works	Дорожные события > Отображение ДС > Дорожные работы
удали парковки	parking.hide	Настройки навигатора > Парковки > Скрыть
вруби парковки	parking.show	Настройки навигатора > Парковки > Показать
найди парковку	parking.find_parking	Маршруты > Построение маршрута > На ближайшую парковку
поставь комментарий	point.add.comment	Дорожные события > Добавление точки > Разговорчик / Комментарий
выбери 2 маршрут	route.select	Маршруты > Выбор из списка

скрой камеры на карте	point.hide.camera	Дорожные события > Скрытие ДС > Камера
ближайшая заправка	search_on_map.org	Поиск объектов на карте > Организации
усачёва улица, поехали	route.calc.address	Маршруты > Построение маршрута > По адресу
верни звуки	settings.sound.unmute	Настройки навигатора > Управление звуком > Включить звуки
поехали в аптеку	route.calc.org	Маршруты > Построение маршрута > К организации
ленина 34	search_on_map.addr	Поиск объектов на карте > Адреса
маршрут на метро до ленинский 54	route.calc.pub_transport	Маршруты > Построение маршрута > На общественном транспорте
сколько ехать до дома	route.calc.timing	Маршруты > Построение маршрута > Сколько ехать?
сколько ехать от москвы до владивостока	route.calc.timing	Маршруты > Построение маршрута > Сколько ехать?

пробки на ленинском проспекте	traffic.street	Пробки > Пробки в конкретных местах
отмени маршрут	route.reset.current	Маршруты > Сброс/отмена маршрута > Текущий маршрут
аптеки	search_on_map.org	Поиск объектов на карте > Организации
почему стоим	traffic.why	Пробки > Какая причина пробки?
приблизь карту	settings.map.zoom	Настройки навигатора > Управление масштабом карты
давай оплатим парковку 3201	parking.pay	Парковки > Оплатить парковку
поставь точку  	point.add.no_type	Дорожные события > Добавление точки > Без указания типа
поехали	route.calc.somewhere	Маршруты > Построение маршрута > Без указания точки
сохрани адрес ленина 88	save_place.poi	Сохранение избранных точек > Адрес или организация
