английская премьер лига расписание игр	search.timetable.other
хабиб конор когда можно будет посмотреть	search.timetable.tv.sport
поезд минск москва как ходит	search.timetable.transport
покажи мне телек онлайн	search.content.live.tv_stream
россия двадцать четыре	search.timetable.tv.channel
когда поле чудес на первом	search.timetable.tv.common
алиса по какому каналу сейчас идет интересный фильм	search.timetable.tv.common
когда играет баскетбольное цска в евролиге	search.timetable.other
включи мне чгк последний выпуск	search.content.video.not_porno
прямой эфир канала спас	search.content.live.tv_stream
смотреть стрим дота онлайн	search.content.video.not_porno
когда будет сегодня бокс по каналу боец	search.timetable.tv.sport
тнт	search.timetable.tv.channel
покажи программу,Какое приложение вам открыть?,программа тв	search.timetable.tv.common
телеканал че смотреть онлайн,Давайте поищем [ Открывается поиск по запросу <телеканал че смотреть онлайн> ],телеканал че смотреть онлайн	search.content.live.tv_stream
программа тв на сегодня,Открываю поиск [ Открывается поиск по запросу <программа тв на сегодня> ],программа тв на завтра	search.timetable.tv.common
тнт,Открываю. [ Открывается приложение Телеканал ТНТ],тнт онлайн	search.content.live.tv_stream
программа для телевизора домашний на сегодня	search.timetable.tv.common
на самом деле семнадцатое число,Сегодня в Чебоксарах четверг\, 17 января 2019 года,эфир передача на самом деле по первому каналу	search.content.live.tv_stream
тв звезда,Давайте поищем [ Открывается поиск по запросу <тв звезда> ],тв звезда	search.timetable.tv.channel
товарищеские встречи спартака,Найдётся всё! [ Открывается поиск по запросу <товарищеские встречи спартака> ],программа тв	search.timetable.tv.common
