поставь дтп	point.add.accident
дорожные работы	point.add.road_works
стоят гаишники	point.add.camera
поставь разговорчик	point.add.comment
поставь комментарий	point.add.comment
нет поворота налево	point.add.error
покажи дтп	point.show.accident
покажи слой дорожных работ	point.show.road_works
скрой камеры на карте	point.hide.camera
поставь штурмана басту	settings.change_voice
скрой пробки	traffic.hide
удали парковки	parking.hide
вруби парковки	parking.show
покажи спутник	settings.satellite.show
переключи на схему	settings.satellite.hide
убери звуки	settings.sound.mute
верни звуки	settings.sound.unmute
сколько мне еще ехать	route.info.how_long_to_drive
во сколько приедем	route.info.when_we_get_there
сколько км пробка	traffic.how_long_traffic_jam
домой	route.calc.home
айда на работу	route.calc.work
поехали в аптеку	route.calc.org
ближайшая заправка	search_on_map.org
усачёва улица, поехали	route.calc.address
маршрут на метро до ленинский 54	route.calc.pub_transport
сколько ехать до дома	route.calc.timing
сколько ехать от москвы до владивостока	route.calc.timing
покажи маршрут	route.show
что сегодня с пробками	traffic.overall
пробки на ленинском проспекте	traffic.street
найди парковку	parking.find_parking
отмени маршрут	route.reset.current
ленина 34	search_on_map.addr
аптеки	search_on_map.org
почему стоим	traffic.why
какой штраф за выделенку	auto_facts.fines
77 какой регион	auto_facts.other
приблизь карту	settings.map.zoom
давай оплатим парковку 3201	parking.pay
поставь точку  	point.add.no_type
поехали	route.calc.somewhere
выбери 2 маршрут	route.select
очисть историю маршрутов	route.reset.history
петрозаводск	search_on_map.toponym
51 градус 48 минут 0 54 секунды северной широты 39 11 минут 674 секунд восточной долготы	search_on_map.coordinates
где я	search_on_map.show_me.current
покажи где я был 2 часа назад	search_on_map.show_me.history
дпс по тверской области	search_on_map.org Это запрос об организации, а не указание на неё
парковки у метро аэропорт	search_on_map.parking
сохрани текущее положение	save_place.current_position
сохрани адрес ленина 88	save_place.poi
