Поставь дтп	point.add.accident
Авария	point.add.accident
Дорожные работы	point.add.road_works
Отметь ремонт дороги	point.add.road_works
Впереди камера	point.add.camera
Поставь разговорчик	point.add.comment
Поставь комментарий	point.add.comment
Отметь ошибку	point.add.error
Нет проезда	point.add.error
Поставь точку другое	point.add.other
Поставь другое дорожное событие	point.add.other
Отметь дорожное событие другое	point.add.other
Поставь штурмана басту	settings.change_voice
Вруби Бондарчука	settings.change_voice
Скрой пробки	traffic.hide
Скрой парковки	parking.hide
Удали парковки	parking.hide
Покажи пробки	traffic.show
Вруби парковки	parking.show
Покажи спутник	settings.satellite.show
Верни схематичную карту	settings.satellite.hide
Убери звуки	settings.sound.mute
Выключи звуки	settings.sound.mute
Верни звуки	settings.sound.unmute
Вруби звуки	settings.sound.unmute
Сколько мне еще ехать?	route.info.how_long_to_drive
Долго еще ехать?	route.info.how_long_to_drive
Во сколько приедем?	route.info.when_we_get_there
Какое время прибытия?	route.info.when_we_get_there
Долго будем стоять?	traffic.how_long_traffic_jam
Большая ли пробка?	traffic.how_long_traffic_jam
Домой	route.calc.home
Маршрут до дома	route.calc.home
Поехали на работу	route.calc.work
Айда на работу	route.calc.work
Поехали в макдональдс	route.calc.org
Поехали на Льва Толстого 16	route.calc.address
Усачёва улица, поехали	route.calc.address
Маршрут на метро до Ленинский 54	route.calc.pub_transport
Маршрут домой на общественном транспорте	route.calc.pub_transport
Сколько ехать до дома?	route.calc.timing
Сколько ехать от Москвы до владивостока	route.calc.timing
Обзор маршрута	route.show
Покажи маршрут	route.show
Какие пробки?	traffic.overall
Что сегодня с пробками	traffic.overall
Пробки по маршруту	traffic.street
Пробки на Ленинском	traffic.street
Найди парковку	parking.find_parking
Припаркуй меня	parking.find_parking
Сброс маршрута	route.reset
Все, больше никуда не едем	route.reset
Ленина 34	search_on_map.addr
Калужское шоссе 122	search_on_map.addr
Аптеки	search_on_map.org
Из-за чего пробка	traffic.why
Причина пробки	traffic.why
77 какой регион	auto_facts.other
Карту крупнее	settings.map.zoom
Приблизь карту	settings.map.zoom
Оплати парковку	parking.pay
Сколько стоит парковка	parking.pay
Скрой камеры на карте	point.hide.camera
Поехали в аптеку	route.calc.org
Включи звуки	settings.sound.unmute
