date,text,image_id
"2020-02-20","Не рой яму другому. Это долго, тяжело и мало заплатят.","937455/add527454ce9cb1dbccc"
"2020-02-21","Живи сегодняшним днём. А завтра — завтрашним днём. Логично же.","1652229/e78d077245d981941d74"
"2020-02-22","Если любишь — отпусти. Так легче выследить, где живёт.","1533899/b08218a496de7451fed1"
"2020-02-23","Будет зайка, будет и лужайка. Понимаю, достало.","1652229/e78d077245d981941d74"
"2020-02-24","Кто не успел, тот хотя бы кофе с утра попил.","1652229/e78d077245d981941d74"
"2020-02-25","Где-то есть человек, для которого ты — абсолютное счастье.","937455/add527454ce9cb1dbccc"
"2020-02-26","Смотри в будущее с оптимизмом.","997614/b4cfecc69188b6e349e3"
"2020-02-27","У человека есть 2-3 настоящих друга. На них и нужно сосредоточить свою любовь.","213044/f3f20594b2b35adb3d0a"
"2020-02-28","Вы можете всё! А если что-то не можете — оно вам и не нужно!","1533899/b08218a496de7451fed1"
"2020-02-29","Всегда есть кто-то, кому хуже, чем тебе сейчас.","997614/b4cfecc69188b6e349e3"
"2020-03-01","Чтобы пришло что-то новое, нужно избавиться от старого. Откажитесь от того, что не приносит вам удовольствия.","1540737/3e6d5ee1f97b86bba03b"
"2020-03-02","Избавьтесь от вредных привычек. Курение, алкоголь, переедание, недосып и даже лень вредят вашему здоровью.","1533899/fea987b14a66bb511983"
"2020-03-03","Читайте книги. Чтение расширяет воображение и обогащает словарный запас.","1533899/fea987b14a66bb511983"
"2020-03-04","Правильный отдых не менее важен, чем труд. Кино, театр, музеи и спорт подарят вам новых идей и эмоций.","213044/f3f20594b2b35adb3d0a"
"2020-03-05","Будьте открыты ко всему новому. Новое хобби поможет вам развиться как личности и найти новых друзей.","937455/add527454ce9cb1dbccc"
"2020-03-06","Не теряйте веру в себя. Ваши идеи, мечты и цели зарождаются, чтобы вы их реализовали.","1030494/8995c3c0343478795f9d"
"2020-03-07","Делайте добрые дела. А плохие не делайте.","1540737/3e6d5ee1f97b86bba03b"
"2020-03-08","Слушайте себя. Только вы знаете, что вам нужно.","1030494/6593f341365c03c6cb6b"
"2020-03-09","Хорошо кушайте, надевайте шапку, слушайтесь родителей.","1030494/6593f341365c03c6cb6b"
"2020-03-10","Ничего не бойтесь, кроме оборотней и вампиров. Но их не существует, а значит, и бояться некого.","1540737/3e6d5ee1f97b86bba03b"
"2020-03-11","Все проходит, и это пройдет","1030494/3c4c18b7084ff4651251"
"2020-03-12","Жизнь всё расставит по местам","1030494/3c4c18b7084ff4651251"
"2020-03-13","Пройдёт время, и жизнь покажет, что всё было только к лучшему","1533899/b08218a496de7451fed1"
"2020-03-14","Делай что должен, и будь что будет","1030494/3c4c18b7084ff4651251"
"2020-03-15","Важно оставаться человеком","213044/f3f20594b2b35adb3d0a"
"2020-03-16","Ещё не вечер","1030494/c68b757bca2e4b8060ed"
"2020-03-17","Важно говорить правду и быть собой","1030494/c68b757bca2e4b8060ed"
"2020-03-18","Будьте заняты. Это самое дешёвое лекарство на земле — и одно из самых эффективных","1030494/c68b757bca2e4b8060ed"
"2020-03-19","Каждое утро — это время начать жизнь снова","1030494/8995c3c0343478795f9d"
"2020-03-20","Главная жизненная задача человека — дать жизнь самому себе","1030494/c68b757bca2e4b8060ed"
